attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,Result,Home Team Pre-Match xG,Away Team Pre-Match xG
53092,Liverpool,Leicester City,Martin Atkinson,24,2.82,1.42,2.79,1.32,1,1,2,1.99,1.35
29164,Tottenham Hotspur,Watford,Graham Scott,24,1.80,1.45,2.00,1.21,2,1,0,1.68,1.30
41219,Tottenham Hotspur,Newcastle United,Andre Marriner,25,1.91,1.00,2.00,1.05,1,0,0,1.67,1.06
30414,Brighton & Hove Albion,Watford,Simon Hooper,25,1.64,1.33,1.21,1.21,0,0,2,1.12,1.26
19787,Burnley,Southampton,Anthony Taylor,25,1.18,0.92,1.21,0.84,1,1,2,1.20,1.34
40626,Chelsea,Huddersfield Town,Paul Tierney,25,2.08,0.55,2.21,0.37,5,0,0,1.71,1.23
25355,Crystal Palace,Fulham,Michael Oliver,25,0.82,0.17,1.05,0.26,2,0,0,1.56,1.04
39380,Everton,Wolverhampton Wanderers,Lee Mason,25,1.75,1.36,1.79,1.21,1,3,1,1.57,1.45
31939,Cardiff City,AFC Bournemouth,Jonathan Moss,25,1.17,0.82,1.05,0.84,2,0,0,1.28,1.37
32148,Leicester City,Manchester United,Mike Dean,25,1.27,1.67,1.42,1.58,0,1,1,1.54,1.40
54483,Manchester City,Arsenal,Martin Atkinson,25,2.75,1.36,2.84,1.32,3,1,0,2.19,1.37
59903,West Ham United,Liverpool,Kevin Friend,25,1.42,2.42,1.63,2.32,1,1,2,1.52,1.52
39322,Everton,Manchester City,Craig Pawson,27,1.62,1.92,1.79,2.32,0,2,1,1.54,1.62
25001,Fulham,Manchester United,Paul Tierney,26,1.25,1.77,1.11,1.58,0,3,1,1.65,1.40
25552,Crystal Palace,West Ham United,Craig Pawson,26,1.00,1.17,1.05,1.11,1,1,2,1.56,1.19
24182,Huddersfield Town,Arsenal,Jonathan Moss,26,0.38,1.25,0.47,1.32,1,2,1,1.22,1.30
53178,Liverpool,AFC Bournemouth,Anthony Taylor,26,2.67,0.75,2.79,0.84,3,0,0,1.95,1.35
31438,Southampton,Cardiff City,Martin Atkinson,26,1.00,0.42,1.21,0.74,1,2,1,1.43,1.07
20333,Watford,Everton,Lee Probert,26,1.42,1.00,1.42,1.05,1,0,0,1.37,1.27
29323,Brighton & Hove Albion,Burnley,Stuart Attwell,26,1.58,0.77,1.21,0.89,1,3,1,1.20,0.97
44154,Tottenham Hotspur,Leicester City,Michael Oliver,26,2.00,1.38,2.00,1.32,3,1,0,1.68,1.31
54452,Manchester City,Chelsea,Mike Dean,26,2.77,1.83,2.84,1.58,6,0,0,2.21,1.57
30687,Wolverhampton Wanderers,Newcastle United,Graham Scott,26,1.54,0.92,1.79,1.05,1,1,2,1.39,1.03
30387,Cardiff City,Watford,Simon Hooper,27,1.31,1.31,1.05,1.21,1,5,1,1.27,1.21
59950,West Ham United,Fulham,Lee Mason,27,1.38,0.15,1.63,0.26,3,1,0,1.49,1.03
21338,Burnley,Tottenham Hotspur,Mike Dean,27,1.17,2.54,1.21,1.74,2,1,0,1.24,1.41
10671,AFC Bournemouth,Wolverhampton Wanderers,Roger East,27,1.85,1.50,1.53,1.21,1,1,2,1.41,1.42
52174,Newcastle United,Huddersfield Town,Kevin Friend,27,1.00,0.50,1.32,0.37,2,0,0,1.22,1.19
31778,Leicester City,Crystal Palace,Anthony Taylor,27,1.17,1.08,1.42,1.53,1,4,1,1.57,1.20
59877,Arsenal,Southampton,Graham Scott,27,2.46,0.92,2.37,0.84,2,0,0,1.59,1.32
74519,Manchester United,Liverpool,Michael Oliver,27,2.08,2.31,1.89,2.32,0,0,2,1.88,1.52
31849,Cardiff City,Everton,Kevin Friend,28,1.21,0.92,1.05,1.05,0,3,1,1.29,1.27
22714,Huddersfield Town,Wolverhampton Wanderers,David Coote,28,0.36,1.46,0.47,1.21,1,0,0,1.27,1.39
30558,Leicester City,Brighton & Hove Albion,Lee Probert,28,1.08,0.62,1.42,0.68,2,1,0,1.61,1.06
48323,Newcastle United,Burnley,Craig Pawson,28,1.14,0.93,1.32,0.89,2,0,0,1.35,0.98
59618,Arsenal,AFC Bournemouth,Chris Kavanagh,28,2.50,0.69,2.37,0.84,5,1,0,1.58,1.33
27597,Southampton,Fulham,Anthony Taylor,28,0.92,0.14,1.21,0.26,2,0,0,1.46,1.04
25754,Crystal Palace,Manchester United,Martin Atkinson,28,1.00,1.86,1.05,1.58,1,3,1,1.59,1.43
40542,Chelsea,Tottenham Hotspur,Andre Marriner,28,2.15,2.36,2.21,1.74,2,0,0,1.74,1.43
53316,Liverpool,Watford,Graham Scott,28,2.69,1.43,2.79,1.21,5,0,0,1.98,1.24
53528,Manchester City,West Ham United,Stuart Attwell,28,2.79,1.15,2.84,1.11,1,0,0,2.19,1.18
81332,Tottenham Hotspur,Arsenal,Anthony Taylor,29,2.08,1.38,2.00,1.32,1,1,2,1.65,1.29
10699,AFC Bournemouth,Manchester City,Kevin Friend,29,1.79,2.00,1.53,2.32,0,1,1,1.40,1.61
30182,Brighton & Hove Albion,Huddersfield Town,Mike Dean,29,1.46,0.46,1.21,0.37,1,0,0,1.25,1.13
19223,Burnley,Crystal Palace,Lee Probert,29,1.31,1.21,1.21,1.53,1,3,1,1.24,1.20
74459,Manchester United,Southampton,Stuart Attwell,29,2.00,0.86,1.89,0.84,3,2,0,1.79,1.32
31309,Wolverhampton Wanderers,Cardiff City,Andre Marriner,29,1.50,0.62,1.79,0.74,2,0,0,1.43,1.07
59910,West Ham United,Newcastle United,Chris Kavanagh,29,1.50,0.92,1.63,1.05,2,0,0,1.53,1.02
20062,Watford,Leicester City,Jonathan Moss,29,1.54,1.29,1.42,1.32,2,1,0,1.34,1.38
24900,Fulham,Chelsea,Graham Scott,29,1.15,1.69,1.11,1.58,1,2,1,1.64,1.54
39335,Everton,Liverpool,Martin Atkinson,29,1.50,2.21,1.79,2.32,0,0,2,1.49,1.49
24972,Crystal Palace,Brighton & Hove Albion,Craig Pawson,30,0.93,0.57,1.05,0.68,1,2,1,1.58,1.10
32458,Cardiff City,West Ham United,Graham Scott,30,1.13,1.07,1.05,1.11,2,0,0,1.26,1.13
22304,Huddersfield Town,AFC Bournemouth,Anthony Taylor,30,0.53,0.64,0.47,0.84,0,2,1,1.28,1.32
32017,Leicester City,Fulham,David Coote,30,1.21,0.13,1.42,0.26,3,1,0,1.59,1.05
52242,Newcastle United,Everton,Lee Mason,30,1.27,1.07,1.32,1.05,3,2,0,1.35,1.28
31890,Southampton,Tottenham Hotspur,Kevin Friend,30,1.07,2.20,1.21,1.74,2,1,0,1.46,1.39
54104,Manchester City,Watford,Paul Tierney,30,2.80,1.33,2.84,1.21,3,1,0,2.21,1.21
53310,Liverpool,Burnley,Andre Marriner,30,2.71,0.87,2.79,0.89,4,2,0,2.00,1.00
40692,Chelsea,Wolverhampton Wanderers,Michael Oliver,30,2.21,1.36,2.21,1.21,1,1,2,1.69,1.35
60000,Arsenal,Manchester United,Jonathan Moss,30,2.53,1.93,2.37,1.58,2,0,0,1.59,1.42
10625,AFC Bournemouth,Newcastle United,Mike Dean,31,1.67,0.86,1.53,1.05,2,2,2,1.32,1.02
20719,Burnley,Leicester City,Michael Oliver,31,1.21,1.20,1.21,1.32,1,2,1,1.29,1.37
59931,West Ham United,Huddersfield Town,Jonathan Moss,31,1.60,0.43,1.63,0.37,4,3,0,1.51,1.11
25043,Fulham,Liverpool,Craig Pawson,31,1.07,2.13,1.11,2.32,1,2,1,1.62,1.46
39356,Everton,Chelsea,Anthony Taylor,31,1.47,1.79,1.79,1.58,2,0,0,1.47,1.56
25001,Fulham,Manchester City,Kevin Friend,32,1.00,2.07,1.11,2.32,0,2,1,1.56,1.66
30636,Brighton & Hove Albion,Southampton,Michael Oliver,32,1.57,0.80,1.21,0.84,0,1,1,1.27,1.31
20990,Burnley,Wolverhampton Wanderers,Chris Kavanagh,32,1.13,1.33,1.21,1.21,2,0,0,1.29,1.29
25193,Crystal Palace,Huddersfield Town,Lee Probert,32,0.87,0.40,1.05,0.37,2,0,0,1.57,1.13
31530,Leicester City,AFC Bournemouth,Lee Mason,32,1.33,0.80,1.42,0.84,2,0,0,1.63,1.32
74543,Manchester United,Watford,Stuart Attwell,32,2.07,1.25,1.89,1.21,2,1,0,1.80,1.16
59988,West Ham United,Everton,Paul Tierney,32,1.69,1.00,1.63,1.05,0,2,1,1.51,1.26
32657,Cardiff City,Chelsea,Craig Pawson,32,1.25,1.67,1.05,1.58,1,2,1,1.29,1.57
53322,Liverpool,Tottenham Hotspur,Martin Atkinson,32,2.73,2.06,2.79,1.74,2,1,0,2.00,1.41
59869,Arsenal,Newcastle United,Anthony Taylor,32,2.56,0.87,2.37,1.05,2,0,0,1.58,1.04
17301,Watford,Fulham,Roger East,33,1.64,0.13,1.42,0.26,4,1,0,1.32,1.03
31302,Wolverhampton Wanderers,Manchester United,Mike Dean,33,1.60,1.81,1.79,1.58,2,1,0,1.43,1.43
38593,Chelsea,Brighton & Hove Albion,Graham Scott,27,2.13,0.73,2.21,0.68,3,0,0,1.71,1.08
59215,Tottenham Hotspur,Crystal Palace,Andre Marriner,31,2.00,1.33,2.00,1.53,2,0,0,1.62,1.20
53559,Manchester City,Cardiff City,Jonathan Moss,33,2.81,0.57,2.84,0.74,2,0,0,2.23,1.10
31797,Southampton,Liverpool,Paul Tierney,33,1.20,2.19,1.21,2.32,1,3,1,1.45,1.50
10446,AFC Bournemouth,Burnley,Martin Atkinson,33,1.63,0.81,1.53,0.89,1,3,1,1.32,0.98
24126,Huddersfield Town,Leicester City,David Coote,33,0.50,1.31,0.47,1.32,1,4,1,1.26,1.34
51926,Newcastle United,Crystal Palace,Stuart Attwell,33,1.38,1.25,1.32,1.53,0,1,1,1.38,1.17
39400,Everton,Arsenal,Kevin Friend,33,1.56,1.36,1.79,1.32,1,0,0,1.48,1.27
40537,Chelsea,West Ham United,Chris Kavanagh,33,2.19,1.00,2.21,1.11,2,0,0,1.72,1.13
32108,Leicester City,Newcastle United,Chris Kavanagh,34,1.44,0.81,1.42,1.05,0,1,1,1.63,1.01
58308,Tottenham Hotspur,Huddersfield Town,Lee Mason,34,2.07,0.38,2.00,0.37,4,0,0,1.70,1.16
30460,Brighton & Hove Albion,AFC Bournemouth,Kevin Friend,34,1.47,0.75,1.21,0.84,0,5,1,1.26,1.30
21480,Burnley,Cardiff City,Mike Dean,34,1.25,0.53,1.21,0.74,2,0,0,1.25,1.06
24971,Fulham,Everton,Lee Probert,34,0.94,1.13,1.11,1.05,2,0,0,1.49,1.31
31708,Southampton,Wolverhampton Wanderers,Jonathan Moss,34,1.13,1.25,1.21,1.21,3,1,0,1.42,1.26
74478,Manchester United,West Ham United,Graham Scott,34,2.13,0.94,1.89,1.11,2,1,0,1.76,1.12
25721,Crystal Palace,Manchester City,Martin Atkinson,34,1.00,2.13,1.05,2.32,1,3,1,1.57,1.69
53279,Liverpool,Chelsea,Michael Oliver,34,2.75,1.75,2.79,1.58,2,0,0,1.96,1.56
20480,Watford,Arsenal,Craig Pawson,34,1.73,1.27,1.42,1.32,0,1,1,1.34,1.25
30226,Brighton & Hove Albion,Cardiff City,Andre Marriner,31,1.38,0.50,1.21,0.74,0,2,1,1.24,1.07
54489,Manchester City,Tottenham Hotspur,Michael Oliver,35,2.82,1.94,2.84,1.74,1,0,0,2.28,1.40
10511,AFC Bournemouth,Fulham,David Coote,35,1.53,0.12,1.53,0.26,0,1,1,1.30,1.07
23957,Huddersfield Town,Watford,Roger East,35,0.47,1.18,0.47,1.21,1,2,1,1.25,1.22
59960,West Ham United,Leicester City,Lee Probert,35,1.59,1.41,1.63,1.32,2,2,2,1.47,1.38
31096,Wolverhampton Wanderers,Brighton & Hove Albion,Craig Pawson,35,1.69,0.69,1.79,0.68,0,0,2,1.40,1.05
52191,Newcastle United,Southampton,Anthony Taylor,35,1.29,0.94,1.32,0.84,3,1,0,1.41,1.29
39395,Everton,Manchester United,Paul Tierney,35,1.65,1.71,1.79,1.58,4,0,0,1.51,1.43
59929,Arsenal,Crystal Palace,Jonathan Moss,35,2.59,1.35,2.37,1.53,2,3,1,1.55,1.14
33082,Cardiff City,Liverpool,Martin Atkinson,35,1.18,2.24,1.05,2.32,0,2,1,1.28,1.51
40642,Chelsea,Burnley,Kevin Friend,35,2.24,0.94,2.21,0.89,2,2,2,1.73,1.00
19170,Watford,Southampton,Mike Dean,31,1.63,0.88,1.42,0.84,1,1,2,1.32,1.29
56251,Tottenham Hotspur,Brighton & Hove Albion,Chris Kavanagh,33,2.13,0.71,2.00,0.68,1,0,0,1.70,1.02
31436,Wolverhampton Wanderers,Arsenal,Stuart Attwell,31,1.65,1.38,1.79,1.32,3,1,0,1.46,1.28
74431,Manchester United,Manchester City,Andre Marriner,31,2.19,2.19,1.89,2.32,0,2,1,1.74,1.71
53249,Liverpool,Huddersfield Town,Kevin Friend,36,2.76,0.35,2.79,0.37,5,0,0,1.95,1.14
60043,Tottenham Hotspur,West Ham United,Anthony Taylor,36,2.18,0.88,2.00,1.11,0,1,1,1.73,1.14
25789,Crystal Palace,Everton,Lee Mason,36,0.94,1.06,1.05,1.05,0,0,2,1.53,1.30
23822,Fulham,Cardiff City,Chris Kavanagh,36,1.06,0.65,1.11,0.74,1,0,0,1.49,1.06
31310,Southampton,AFC Bournemouth,Graham Scott,36,1.24,0.88,1.21,0.84,3,3,2,1.42,1.31
20323,Watford,Wolverhampton Wanderers,Simon Hooper,36,1.59,1.18,1.42,1.21,1,2,1,1.32,1.27
30587,Brighton & Hove Albion,Newcastle United,Mike Dean,36,1.29,0.94,1.21,1.05,1,1,2,1.25,1.02
32037,Leicester City,Arsenal,Michael Oliver,36,1.35,1.29,1.42,1.32,3,0,0,1.62,1.26
21605,Burnley,Manchester City,Paul Tierney,36,1.35,2.24,1.21,2.32,0,1,1,1.29,1.69
74526,Manchester United,Chelsea,Martin Atkinson,36,2.06,1.65,1.89,1.58,1,1,2,1.69,1.52
39303,Everton,Burnley,Chris Kavanagh,37,1.72,0.94,1.79,0.89,2,0,0,1.52,0.99
10630,AFC Bournemouth,Tottenham Hotspur,Craig Pawson,37,1.44,1.83,1.53,1.74,1,0,0,1.31,1.38
59961,West Ham United,Southampton,Stuart Attwell,37,1.56,0.89,1.63,0.84,3,0,0,1.46,1.29
30456,Wolverhampton Wanderers,Fulham,Jonathan Moss,37,1.72,0.28,1.79,0.26,1,0,0,1.44,1.10
32133,Cardiff City,Crystal Palace,Michael Oliver,37,1.11,1.44,1.05,1.53,2,3,1,1.25,1.17
52206,Newcastle United,Liverpool,Andre Marriner,37,1.39,2.28,1.32,2.32,2,3,1,1.41,1.53
40650,Chelsea,Watford,Paul Tierney,37,2.17,1.28,2.21,1.21,3,0,0,1.79,1.23
24263,Huddersfield Town,Manchester United,Lee Mason,37,0.44,1.61,0.47,1.58,1,1,2,1.25,1.40
59965,Arsenal,Brighton & Hove Albion,Anthony Taylor,37,2.44,0.67,2.37,0.68,1,1,2,1.57,1.00
54506,Manchester City,Leicester City,Mike Dean,37,2.83,1.39,2.84,1.32,1,0,0,2.24,1.39
30662,Brighton & Hove Albion,Manchester City,Michael Oliver,38,1.28,2.28,1.21,2.32,1,4,1,1.25,1.70
21461,Burnley,Arsenal,Mike Dean,38,1.28,1.22,1.21,1.32,1,3,1,1.24,1.23
25433,Crystal Palace,AFC Bournemouth,Roger East,38,0.94,0.89,1.05,0.84,5,3,0,1.48,1.31
24979,Fulham,Newcastle United,Kevin Friend,38,1.17,0.94,1.11,1.05,0,4,1,1.47,1.00
32140,Leicester City,Chelsea,Anthony Taylor,38,1.44,1.61,1.42,1.58,0,0,2,1.68,1.52
53331,Liverpool,Wolverhampton Wanderers,Martin Atkinson,38,2.78,1.28,2.79,1.21,2,0,0,1.96,1.27
74457,Manchester United,Cardiff City,Jonathan Moss,38,2.00,0.61,1.89,0.74,0,2,1,1.67,1.10
30367,Southampton,Huddersfield Town,Lee Probert,38,1.22,0.33,1.21,0.37,1,1,2,1.46,1.11
60124,Tottenham Hotspur,Everton,Andre Marriner,38,2.06,1.06,2.00,1.05,2,2,2,1.71,1.32
20067,Watford,West Ham United,Chris Kavanagh,38,1.50,1.00,1.42,1.11,1,4,1,1.30,1.18
