Home Win,Away Win,Draw
0.9819697,0.017324416,0.00070584554
0.020749036,0.96684015,0.01241075
0.1713404,0.60425484,0.22440477
0.9954509,0.0012672121,0.0032819316
0.0027066264,0.99664575,0.0006476023
0.0029660813,0.97653985,0.02049411
0.9968215,0.0006475217,0.002530903
0.08988684,0.43572453,0.4743886
0.93511707,0.035569143,0.029313821
0.03680438,0.94696283,0.016232807
0.129244,0.41780558,0.45295042
0.84625274,0.006817031,0.14693028
0.66765255,0.2540696,0.07827785
0.9971782,0.00020576334,0.0026160737
0.7542858,0.06777746,0.17793673
0.93770146,0.021776684,0.04052179
0.99512094,0.00043688048,0.0044421176
0.31234622,0.68556786,0.0020859214
0.08881247,0.9095092,0.0016783035
0.17506063,0.56987095,0.25506845
0.7724434,0.19353126,0.034025323
0.9734648,0.020942027,0.005593204
0.3470128,0.62156403,0.03142318
0.98764384,0.0038795748,0.0084766075
0.99399996,0.0038092828,0.002190724
0.9847809,0.0040725973,0.011146511
0.9879654,0.007060845,0.0049737655
0.12729986,0.82733506,0.04536506
0.98619056,0.0013514913,0.012457964
0.8570857,0.05323107,0.08968319
0.0011703608,0.9927994,0.006030198
0.2512367,0.50930613,0.2394572
0.6764985,0.30650324,0.01699833
0.16609003,0.006043524,0.8278665
0.9468833,0.023088682,0.030027945
0.9628448,0.016564228,0.020591
0.5109406,0.10607682,0.38298252
0.47854212,0.07643779,0.4450201
0.78300834,0.08223662,0.134755
0.36392906,0.17548291,0.46058804
0.99840575,0.00033702282,0.0012572281
0.023173772,0.9741296,0.002696622
0.05417091,0.8984337,0.04739538
0.70863265,0.13354145,0.15782593
0.63854766,0.16277325,0.19867909
0.40629822,0.53848904,0.055212744
0.7906869,0.19642906,0.012883984
0.7672715,0.13055599,0.10217248
0.9553434,0.02991922,0.014737302
0.92859155,0.008363383,0.063045055
0.041586787,0.30728665,0.65112656
0.39810392,0.051531564,0.5503645
0.9922146,0.00040877768,0.007376604
0.13590509,0.073737115,0.7903578
0.97101027,0.0053295535,0.023660254
0.56034446,0.37512276,0.06453281
0.9412698,0.009611885,0.049118288
0.43605715,0.06366289,0.50027996
0.39320755,0.5712355,0.03555699
0.30708227,0.5342195,0.15869825
0.00064714643,0.99894196,0.00041086183
0.018421154,0.97688705,0.0046918774
0.24580199,0.4464017,0.30779633
0.990555,0.004363297,0.005081704
0.32363433,0.05461881,0.62174684
0.028080551,0.9496084,0.022311
0.31371474,0.009171915,0.6771133
0.5725991,0.064284906,0.36311597
0.95354855,0.00537555,0.041075863
0.21110845,0.3179591,0.47093248
0.46275514,0.21344654,0.3237983
0.818366,0.061125185,0.12050885
0.9921157,0.0034026268,0.004481742
0.87719834,0.021391165,0.10141049
0.024407327,0.8859096,0.08968306
0.8570529,0.028277623,0.11466938
