,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attendance,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,result,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win
32149,4,3.00,3.00,1.42,2.32,1,2,1,4,3,0,2,0,0,3,0,2,9,9,6,5,3,4,9,12,51,49,0.81,1.70,8.00,5.00,6.34,4.59,1.53
30526,4,3.00,0.00,1.21,0.26,2,2,2,1,3,0,3,0,1,2,0,3,13,9,6,6,7,3,12,14,41,59,0.97,1.04,5.00,1.00,2.19,3.35,3.63
40178,4,3.00,3.00,2.21,0.84,2,0,0,6,2,0,2,0,1,1,1,1,13,8,7,2,6,6,10,7,72,28,2.47,1.31,9.00,2.00,1.29,5.98,9.99
25495,4,0.00,0.00,1.05,0.84,0,2,1,4,1,0,1,0,0,1,0,1,14,13,7,7,7,6,11,12,50,50,1.03,1.33,11.00,8.00,2.03,3.42,4.11
38767,4,3.00,0.00,1.79,0.37,1,1,2,3,3,0,3,0,0,3,1,2,10,8,2,7,8,1,13,14,57,43,1.69,0.59,5.00,2.00,1.50,4.34,7.53
59947,4,0.00,0.00,1.63,1.21,0,1,1,4,2,0,1,0,1,1,0,1,9,14,4,7,5,7,10,11,47,53,1.39,1.53,15.00,7.00,2.54,3.35,2.96
53946,4,3.00,1.00,2.84,1.05,2,1,0,0,0,0,0,0,0,0,0,0,18,4,9,3,9,1,5,13,78,22,3.23,1.22,15.00,4.00,1.12,9.99,9.99
32316,4,1.00,0.00,1.05,1.32,2,3,1,9,3,0,4,0,0,3,1,3,14,16,4,12,10,4,12,14,27,73,1.03,1.61,6.00,4.00,5.54,4.07,1.66
21525,4,0.00,0.00,1.21,1.58,0,2,1,5,2,0,3,1,0,2,1,3,9,16,3,10,6,6,7,13,46,54,1.09,1.06,10.00,2.00,5.92,3.59,1.72
20141,4,3.00,3.00,1.42,1.74,2,1,0,10,2,0,1,0,0,2,0,1,7,10,4,3,3,7,9,8,34,66,1.64,1.34,10.50,5.50,5.20,4.08,1.69
80188,5,3.00,3.00,2.00,2.32,1,2,1,4,0,0,0,0,0,0,0,0,9,16,4,11,5,5,17,16,60,40,2.75,1.46,10.50,1.50,3.20,3.60,2.30
10543,5,2.00,1.50,1.53,1.32,4,2,0,6,3,0,3,1,1,2,2,2,8,13,6,9,2,4,13,15,46,54,1.63,1.35,10.50,2.50,2.40,3.45,3.10
40499,5,3.00,0.50,2.21,0.74,4,1,0,4,0,0,0,0,0,0,0,0,16,7,8,3,8,4,8,10,76,24,2.16,1.18,11.50,2.00,1.16,9.00,21.75
23696,5,0.50,1.50,0.47,1.53,0,1,1,3,1,0,2,0,1,0,2,0,12,5,3,3,9,2,11,17,58,42,0.83,1.51,8.50,4.00,3.35,3.20,2.45
53307,5,3.00,0.50,2.84,0.26,3,0,0,4,0,0,0,0,0,0,0,0,18,9,10,4,8,5,7,7,64,36,2.79,1.13,8.50,1.50,1.10,13.75,28.75
52165,5,0.00,1.50,1.32,1.32,1,2,1,4,0,0,0,0,0,0,0,0,3,8,3,3,0,5,13,11,36,64,0.93,1.98,8.50,5.50,4.55,3.85,1.87
20537,5,3.00,1.50,1.42,1.58,1,2,1,8,2,0,2,1,2,0,0,3,9,8,6,7,3,1,9,11,42,58,1.47,1.56,10.67,5.67,4.55,3.65,1.91
30406,5,1.00,0.50,1.79,0.89,1,0,0,2,2,0,4,0,0,2,2,2,21,8,8,3,13,5,10,9,58,42,1.18,1.38,8.50,1.50,1.77,3.55,5.85
39161,5,2.00,0.00,1.79,1.11,1,3,1,2,2,0,5,0,1,1,1,4,11,7,5,5,6,2,15,12,55,45,1.38,1.10,6.00,4.00,2.00,3.60,4.15
27742,5,0.50,0.00,1.21,0.68,2,2,2,4,2,0,3,0,0,2,0,3,12,10,6,5,6,5,10,13,51,49,1.42,0.71,12.50,3.00,2.05,3.30,4.20
23418,6,1.50,3.00,1.11,1.21,1,1,2,8,2,0,1,0,2,0,0,1,10,11,4,7,6,4,11,9,60,40,2.16,1.25,7.50,3.50,2.85,3.45,2.55
18636,6,0.00,1.50,1.21,0.84,4,0,0,8,2,0,0,0,1,1,0,0,9,11,6,6,3,5,17,6,37,63,1.11,1.16,8.50,3.50,3.05,3.30,2.45
32321,6,0.50,2.00,1.05,2.32,0,5,1,9,1,0,1,0,1,0,0,1,3,15,3,11,0,4,6,4,21,79,1.26,1.88,13.00,4.50,20.50,8.75,1.15
25679,6,0.00,0.50,1.05,1.05,0,0,2,5,1,0,1,0,0,1,1,0,12,7,5,4,7,3,8,11,61,39,1.43,0.92,9.00,4.00,2.05,3.40,4.05
31676,6,1.50,0.50,1.42,0.37,3,1,0,1,2,0,1,0,2,0,0,1,16,8,9,3,7,5,10,16,62,38,1.10,0.96,5.50,6.00,1.71,3.65,5.70
50965,6,3.00,1.50,2.79,0.84,3,0,0,5,0,0,2,0,0,0,1,1,10,3,5,2,5,1,7,10,60,40,2.19,1.50,11.00,4.00,1.19,7.75,16.25
74489,6,1.50,1.50,1.89,1.21,1,1,2,4,1,0,1,0,1,0,0,1,10,12,7,9,3,3,5,17,64,36,1.63,1.64,10.00,3.00,1.67,3.95,5.70
30531,6,2.00,2.00,1.21,1.74,1,2,1,7,2,0,1,0,0,2,0,1,8,13,5,8,3,5,15,9,28,72,1.33,1.38,10.67,4.00,5.40,3.95,1.69
56875,6,0.00,3.00,1.63,1.58,0,0,2,8,2,0,1,0,0,2,0,1,6,13,2,7,4,6,11,9,28,72,1.35,1.43,10.00,5.00,5.55,4.30,1.61
59964,6,1.50,1.00,2.37,1.05,2,0,0,9,2,0,1,0,2,0,1,0,7,9,6,7,1,2,17,12,62,38,1.56,1.25,8.50,5.50,1.43,5.10,7.25
56938,7,0.33,2.00,1.63,1.58,3,1,0,9,0,0,1,0,0,0,0,1,8,6,4,5,4,1,12,12,49,51,1.14,1.50,9.67,6.33,4.20,3.60,1.95
60019,7,2.00,2.00,2.37,1.21,2,0,0,6,2,0,2,0,1,1,1,1,9,13,3,6,6,7,11,17,63,37,1.47,1.40,9.67,3.17,1.49,4.75,6.70
38788,7,1.33,0.33,1.79,0.26,3,0,0,1,0,0,3,0,0,0,1,2,13,7,7,0,6,7,13,13,51,49,1.42,1.11,5.66,2.67,1.67,4.20,5.35
23885,7,0.33,2.25,0.47,1.74,0,2,1,0,2,0,2,0,1,1,0,2,9,11,6,7,3,4,17,16,52,48,1.03,1.46,10.67,3.42,6.40,4.05,1.59
54152,7,3.00,0.33,2.84,0.68,2,0,0,3,0,0,3,0,0,0,2,1,22,3,9,2,13,1,4,10,80,20,2.66,0.89,11.67,2.00,1.09,12.00,33.00
51523,7,0.00,1.00,1.32,1.32,0,2,1,9,0,0,0,0,0,0,0,0,6,10,2,6,4,4,11,5,41,59,0.85,1.51,10.34,3.67,2.75,3.20,2.80
31147,7,1.67,1.00,1.79,0.84,2,0,0,6,3,0,1,0,0,3,0,1,13,11,7,7,6,4,11,7,48,52,1.59,1.20,10.00,3.67,1.91,3.50,4.55
40625,7,3.00,3.00,2.21,2.32,1,1,2,4,0,0,2,0,0,0,1,1,9,13,5,7,4,6,7,9,47,53,2.06,1.61,10.67,1.67,2.65,3.45,2.70
30411,7,0.33,0.33,1.05,0.89,1,2,1,2,1,0,3,0,0,1,1,2,15,4,6,3,9,1,11,15,54,46,1.02,1.24,6.67,4.00,2.55,3.05,3.20
10199,7,2.33,2.00,1.53,1.53,2,1,0,3,3,0,4,0,1,2,0,4,10,7,6,3,4,4,9,12,44,56,1.47,1.24,9.34,4.00,2.25,3.40,3.35
30544,8,1.33,1.00,1.21,1.11,1,0,0,9,3,0,2,0,1,2,0,2,9,12,5,5,4,7,12,8,35,65,1.24,1.11,7.67,5.33,2.75,3.30,2.75
20533,8,1.00,0.33,1.21,0.37,1,1,2,10,2,0,2,0,0,2,0,2,4,10,4,3,0,7,9,11,31,69,1.15,0.95,5.66,3.67,2.10,3.10,4.20
25715,8,0.33,1.33,1.05,1.21,0,1,1,3,3,0,4,0,1,2,0,4,9,8,5,3,4,5,11,13,67,33,1.48,1.66,13.00,2.67,2.80,3.20,2.75
32007,8,2.00,0.67,1.42,1.05,1,2,1,10,3,1,1,0,2,2,1,0,8,14,3,9,5,5,10,11,51,49,1.37,1.32,8.34,6.00,2.30,3.35,3.35
43268,8,1.50,0.33,2.00,0.74,1,0,0,2,3,0,1,1,0,3,0,2,14,9,8,7,6,2,7,11,75,25,1.89,1.09,10.00,0.67,1.24,6.40,15.00
20139,8,2.25,1.00,1.42,0.84,0,4,1,7,4,1,1,0,3,2,0,1,5,11,3,8,2,3,11,9,47,53,1.45,1.31,11.75,3.83,2.15,3.55,3.55
74519,8,1.33,0.67,1.89,1.05,3,2,0,6,2,0,2,0,1,1,0,2,16,14,11,9,5,5,16,8,73,27,1.61,0.93,7.33,3.34,1.44,4.50,8.50
25401,8,1.33,2.00,1.11,1.32,1,5,1,2,2,0,0,0,0,2,0,0,13,10,5,8,8,2,11,12,48,52,1.86,1.68,11.00,3.67,5.15,4.35,1.65
27077,8,0.67,2.33,1.21,1.58,0,3,1,12,6,0,0,0,1,5,0,0,13,10,7,7,6,3,13,11,34,66,1.45,1.59,12.33,2.67,6.10,4.10,1.61
52117,8,3.00,2.33,2.79,2.32,0,0,2,6,1,0,3,0,0,1,1,2,7,6,3,3,4,3,10,10,49,51,1.93,1.96,15.00,2.34,2.60,3.50,2.75
40721,9,2.50,1.50,2.21,1.58,2,2,2,3,2,0,5,0,2,0,2,3,15,8,7,5,8,3,9,17,62,38,1.84,1.42,12.00,3.00,1.71,3.95,5.20
10986,9,2.50,0.75,1.53,0.84,0,0,2,4,1,0,2,0,0,1,2,0,8,7,3,5,5,2,11,14,57,43,1.45,1.27,10.00,4.50,2.30,3.45,3.25
29681,9,0.25,0.25,1.05,0.26,4,2,0,4,3,0,3,0,1,2,3,0,16,8,6,5,10,3,15,16,40,60,1.25,0.99,6.75,3.25,2.50,3.40,2.95
54094,9,3.00,1.00,2.84,0.89,5,0,0,1,2,0,2,0,1,1,2,0,17,5,11,0,6,5,11,5,69,31,2.68,1.11,11.75,2.25,1.07,15.50,33.75
50329,9,0.00,0.25,1.32,0.68,0,1,1,2,0,0,2,0,0,0,1,1,19,7,7,3,12,4,13,17,68,32,0.82,0.78,9.00,3.50,2.20,3.20,3.80
